Zeitstempel	kWh
01.01.2020 00:15	1642023.305
01.01.2020 00:30	1633304.138
01.01.2020 00:45	1621372.044
01.01.2020 01:00	1592369.633
01.01.2020 01:15	1625802.158
01.01.2020 01:30	1618615.641
01.01.2020 01:45	1612706.563
01.01.2020 02:00	1586844.438
01.01.2020 02:15	1590347.285
01.01.2020 02:30	1561112.893
01.01.2020 02:45	1542027.656
01.01.2020 03:00	1518253.645
01.01.2020 03:15	1527933.559
01.01.2020 03:30	1507981.579
01.01.2020 03:45	1480434.275
01.01.2020 04:00	1463628.065
01.01.2020 04:15	1464498.605
01.01.2020 04:30	1442536.405
01.01.2020 04:45	1427211.602
01.01.2020 05:00	1410110.571
01.01.2020 05:15	1412068.125
01.01.2020 05:30	1406228.062
01.01.2020 05:45	1404473.15
01.01.2020 06:00	1402082.641
01.01.2020 06:15	1392755.102
01.01.2020 06:30	1391998.062
01.01.2020 06:45	1386981.01
01.01.2020 07:00	1382290.016
01.01.2020 07:15	1350107.648
01.01.2020 07:30	1351377.104
01.01.2020 07:45	1358385.844
01.01.2020 08:00	1364616.674
01.01.2020 08:15	1373654.997
01.01.2020 08:30	1372625.532
01.01.2020 08:45	1385981.671
01.01.2020 09:00	1397176.743
01.01.2020 09:15	1417978.662
01.01.2020 09:30	1433668.041
01.01.2020 09:45	1446183.158
01.01.2020 10:00	1457684.451
01.01.2020 10:15	1465790.161
01.01.2020 10:30	1473161.647
01.01.2020 10:45	1472495.152
01.01.2020 11:00	1476652.865
01.01.2020 11:15	1449901.526
01.01.2020 11:30	1450692.047
01.01.2020 11:45	1459148.483
01.01.2020 12:00	1467566.808
01.01.2020 12:15	1515391.353
01.01.2020 12:30	1557169.523
01.01.2020 12:45	1570758.588
01.01.2020 13:00	1566138.473
01.01.2020 13:15	1561485.458
01.01.2020 13:30	1548070.575
01.01.2020 13:45	1534086.76
01.01.2020 14:00	1525020.75
01.01.2020 14:15	1524060.555
01.01.2020 14:30	1515740.324
01.01.2020 14:45	1509074.277
01.01.2020 15:00	1504771.625
01.01.2020 15:15	1512379.008
01.01.2020 15:30	1514983.872
01.01.2020 15:45	1519732.081
01.01.2020 16:00	1530583.044
01.01.2020 16:15	1549971.575
01.01.2020 16:30	1570334.118
01.01.2020 16:45	1596810.226
01.01.2020 17:00	1635918.38
01.01.2020 17:15	1673846.992
01.01.2020 17:30	1703119.067
01.01.2020 17:45	1720895.798
01.01.2020 18:00	1738247.184
01.01.2020 18:15	1734315.607
01.01.2020 18:30	1733042.577
01.01.2020 18:45	1726070.177
01.01.2020 19:00	1718768.244
01.01.2020 19:15	1711847.722
01.01.2020 19:30	1695384.231
01.01.2020 19:45	1675360.881
01.01.2020 20:00	1653833.544
01.01.2020 20:15	1662840.823
01.01.2020 20:30	1650191.22
01.01.2020 20:45	1631787.09
01.01.2020 21:00	1609740.575
01.01.2020 21:15	1607756.531
01.01.2020 21:30	1589976.568
01.01.2020 21:45	1576072.096
01.01.2020 22:00	1557120.054
01.01.2020 22:15	1604771.894
01.01.2020 22:30	1609047.017
01.01.2020 22:45	1603766.277
01.01.2020 23:00	1576687.969
01.01.2020 23:15	1596814.612
01.01.2020 23:30	1572675.827
01.01.2020 23:45	1555491.984
02.01.2020 00:00	1533934.436
02.01.2020 00:15	1573731.892
02.01.2020 00:30	1552654.22
02.01.2020 00:45	1527783.57
02.01.2020 01:00	1500444.402
02.01.2020 01:15	1534260.949
02.01.2020 01:30	1521582.449
02.01.2020 01:45	1509027.798
02.01.2020 02:00	1489756.439
02.01.2020 02:15	1498196.764
02.01.2020 02:30	1477957.048
02.01.2020 02:45	1470918.711
02.01.2020 03:00	1449240.22
02.01.2020 03:15	1467641.611
02.01.2020 03:30	1453819.826
02.01.2020 03:45	1432190.578
02.01.2020 04:00	1419631.936
02.01.2020 04:15	1423475.192
02.01.2020 04:30	1408281.366
02.01.2020 04:45	1401353.531
02.01.2020 05:00	1397895.246
02.01.2020 05:15	1414999.809
02.01.2020 05:30	1424980.414
02.01.2020 05:45	1439012.619
02.01.2020 06:00	1452193.121
02.01.2020 06:15	1465260.035
02.01.2020 06:30	1483400.7
02.01.2020 06:45	1495100.216
02.01.2020 07:00	1505859.758
02.01.2020 07:15	1491850.93
02.01.2020 07:30	1507742.64
02.01.2020 07:45	1530289.559
02.01.2020 08:00	1552609.321
02.01.2020 08:15	1566309.944
02.01.2020 08:30	1577017.27
02.01.2020 08:45	1599048.686
02.01.2020 09:00	1622162.576
02.01.2020 09:15	1651019.803
02.01.2020 09:30	1669163.175
02.01.2020 09:45	1681438.206
02.01.2020 10:00	1691248.427
02.01.2020 10:15	1698299.231
02.01.2020 10:30	1700217.093
02.01.2020 10:45	1695584.771
02.01.2020 11:00	1697107.861
02.01.2020 11:15	1665059.75
02.01.2020 11:30	1663897.817
02.01.2020 11:45	1674488.454
02.01.2020 12:00	1678038.276
02.01.2020 12:15	1706555.519
02.01.2020 12:30	1725423.648
02.01.2020 12:45	1735051.617
02.01.2020 13:00	1720685.002
02.01.2020 13:15	1712835.789
02.01.2020 13:30	1698145.034
02.01.2020 13:45	1684168.852
02.01.2020 14:00	1668882.21
02.01.2020 14:15	1663582.554
02.01.2020 14:30	1652396.024
02.01.2020 14:45	1644950.869
02.01.2020 15:00	1639716.642
02.01.2020 15:15	1651304.36
02.01.2020 15:30	1656450.974
02.01.2020 15:45	1661407.738
02.01.2020 16:00	1666142.88
02.01.2020 16:15	1675275.42
02.01.2020 16:30	1690755.397
02.01.2020 16:45	1714397.292
02.01.2020 17:00	1754637.606
02.01.2020 17:15	1794923.701
02.01.2020 17:30	1827772.149
02.01.2020 17:45	1845456.152
02.01.2020 18:00	1861790.153
02.01.2020 18:15	1857148.517
02.01.2020 18:30	1853615.4
02.01.2020 18:45	1842195.93
02.01.2020 19:00	1832823.766
02.01.2020 19:15	1828507.216
02.01.2020 19:30	1811116.269
02.01.2020 19:45	1787110.87
02.01.2020 20:00	1761208.185
02.01.2020 20:15	1759866.361
02.01.2020 20:30	1736761.502
02.01.2020 20:45	1712668.737
02.01.2020 21:00	1689341.594
02.01.2020 21:15	1691244.014
02.01.2020 21:30	1672131.741
02.01.2020 21:45	1654698.878
02.01.2020 22:00	1629365.162
02.01.2020 22:15	1681480.099
02.01.2020 22:30	1688917.621
02.01.2020 22:45	1680600.233
02.01.2020 23:00	1648971.657
02.01.2020 23:15	1655733.653
02.01.2020 23:30	1628796.439
02.01.2020 23:45	1622567.068
03.01.2020 00:00	1596936.47
03.01.2020 00:15	1605263.324
03.01.2020 00:30	1583616.844
03.01.2020 00:45	1566070.844
03.01.2020 01:00	1539174.723
03.01.2020 01:15	1567590.877
03.01.2020 01:30	1546934.534
03.01.2020 01:45	1528827.128
03.01.2020 02:00	1503530.907
03.01.2020 02:15	1515053.198
03.01.2020 02:30	1493150.63
03.01.2020 02:45	1476407.118
03.01.2020 03:00	1456296.248
03.01.2020 03:15	1478136.501
03.01.2020 03:30	1465768.564
03.01.2020 03:45	1449143.751
03.01.2020 04:00	1433347.123
03.01.2020 04:15	1445649.188
03.01.2020 04:30	1434513.553
03.01.2020 04:45	1428363.547
03.01.2020 05:00	1425765.269
03.01.2020 05:15	1460009.81
03.01.2020 05:30	1473685.916
03.01.2020 05:45	1491998.135
03.01.2020 06:00	1514560.366
03.01.2020 06:15	1534674.851
03.01.2020 06:30	1559169.571
03.01.2020 06:45	1585115.677
03.01.2020 07:00	1607915.242
03.01.2020 07:15	1605560.169
03.01.2020 07:30	1638507.458
03.01.2020 07:45	1670187.615
03.01.2020 08:00	1699637.86
03.01.2020 08:15	1725380.906
03.01.2020 08:30	1733676.455
03.01.2020 08:45	1755646.156
03.01.2020 09:00	1774270.445
03.01.2020 09:15	1790584.68
03.01.2020 09:30	1804690.366
03.01.2020 09:45	1813056.738
03.01.2020 10:00	1815915.234
03.01.2020 10:15	1820369.941
03.01.2020 10:30	1820379.641
03.01.2020 10:45	1813337.075
03.01.2020 11:00	1811796.606
03.01.2020 11:15	1783458.242
03.01.2020 11:30	1783672.706
03.01.2020 11:45	1797078.528
03.01.2020 12:00	1802328.847
03.01.2020 12:15	1812573.258
03.01.2020 12:30	1812425.819
03.01.2020 12:45	1808689.404
03.01.2020 13:00	1790150.51
03.01.2020 13:15	1785729.55
03.01.2020 13:30	1772544.858
03.01.2020 13:45	1761579.74
03.01.2020 14:00	1750601.61
03.01.2020 14:15	1741048.924
03.01.2020 14:30	1726128.963
03.01.2020 14:45	1716557.723
03.01.2020 15:00	1703780.252
03.01.2020 15:15	1710059.296
03.01.2020 15:30	1705286.694
03.01.2020 15:45	1709478.131
03.01.2020 16:00	1713252.852
03.01.2020 16:15	1740693.014
03.01.2020 16:30	1757972.88
03.01.2020 16:45	1780277.408
03.01.2020 17:00	1813129.838
03.01.2020 17:15	1854463.506
03.01.2020 17:30	1879297.246
03.01.2020 17:45	1895022.043
03.01.2020 18:00	1911961.917
03.01.2020 18:15	1907077.559
03.01.2020 18:30	1903260.922
03.01.2020 18:45	1885760.854
03.01.2020 19:00	1873153.546
03.01.2020 19:15	1851118.179
03.01.2020 19:30	1827889.39
03.01.2020 19:45	1796872.075
03.01.2020 20:00	1770761.89
03.01.2020 20:15	1757088.545
03.01.2020 20:30	1728518.498
03.01.2020 20:45	1700167.094
03.01.2020 21:00	1668978.845
03.01.2020 21:15	1671781.206
03.01.2020 21:30	1654303.732
03.01.2020 21:45	1633403.05
03.01.2020 22:00	1606850.382
03.01.2020 22:15	1652186.643
03.01.2020 22:30	1654424.66
03.01.2020 22:45	1646851.215
03.01.2020 23:00	1610374.306
03.01.2020 23:15	1612077.062
03.01.2020 23:30	1585948.543
03.01.2020 23:45	1573327.997
04.01.2020 00:00	1546921.632
04.01.2020 00:15	1565468.085
04.01.2020 00:30	1538454.233
04.01.2020 00:45	1509033.59
04.01.2020 01:00	1477499.31
04.01.2020 01:15	1505437.86
04.01.2020 01:30	1485732.367
04.01.2020 01:45	1466615.885
04.01.2020 02:00	1436990.813
04.01.2020 02:15	1449120.9
04.01.2020 02:30	1426906.761
04.01.2020 02:45	1414682.787
04.01.2020 03:00	1392489.881
04.01.2020 03:15	1409455.239
04.01.2020 03:30	1390901.074
04.01.2020 03:45	1369616.983
04.01.2020 04:00	1354143.552
04.01.2020 04:15	1356371.121
04.01.2020 04:30	1348028.128
04.01.2020 04:45	1336503.942
04.01.2020 05:00	1330104.788
04.01.2020 05:15	1346600.394
04.01.2020 05:30	1352823.905
04.01.2020 05:45	1360922.681
04.01.2020 06:00	1367681.273
04.01.2020 06:15	1366946.191
04.01.2020 06:30	1374562.47
04.01.2020 06:45	1384983.819
04.01.2020 07:00	1389592.273
04.01.2020 07:15	1384301.978
04.01.2020 07:30	1401782.883
04.01.2020 07:45	1425763.311
04.01.2020 08:00	1451634.918
04.01.2020 08:15	1472402.568
04.01.2020 08:30	1486838.303
04.01.2020 08:45	1506591.269
04.01.2020 09:00	1532613.715
04.01.2020 09:15	1565948.415
04.01.2020 09:30	1582952.393
04.01.2020 09:45	1596597.594
04.01.2020 10:00	1608414.879
04.01.2020 10:15	1622487.714
04.01.2020 10:30	1627060.398
04.01.2020 10:45	1626160.511
04.01.2020 11:00	1627258.078
04.01.2020 11:15	1625714.736
04.01.2020 11:30	1636419.91
04.01.2020 11:45	1655102.38
04.01.2020 12:00	1664576.142
04.01.2020 12:15	1665104.019
04.01.2020 12:30	1664562.789
04.01.2020 12:45	1664294.291
04.01.2020 13:00	1649162.269
04.01.2020 13:15	1656843.001
04.01.2020 13:30	1643330.464
04.01.2020 13:45	1649618.859
04.01.2020 14:00	1636245.176
04.01.2020 14:15	1641024.373
04.01.2020 14:30	1631006.819
04.01.2020 14:45	1634505.36
04.01.2020 15:00	1621132.264
04.01.2020 15:15	1628331.67
04.01.2020 15:30	1625180.2
04.01.2020 15:45	1624312.975
04.01.2020 16:00	1623859.377
04.01.2020 16:15	1641902.78
04.01.2020 16:30	1655336.487
04.01.2020 16:45	1672418.61
04.01.2020 17:00	1701340.291
04.01.2020 17:15	1728284.19
04.01.2020 17:30	1773586.825
04.01.2020 17:45	1801442.689
04.01.2020 18:00	1821940.513
04.01.2020 18:15	1819694.342
04.01.2020 18:30	1810344.636
04.01.2020 18:45	1797016.443
04.01.2020 19:00	1781546.103
04.01.2020 19:15	1761617.501
04.01.2020 19:30	1743039.941
04.01.2020 19:45	1713854.022
04.01.2020 20:00	1688620.382
04.01.2020 20:15	1689343.649
04.01.2020 20:30	1664329.978
